2026-08-02 18:15:28 UTC  OK  misura 2026-08-02 20:14:41 (ora italiana), nuova · vento 4.7 kn, raffica 6.0 kn, dir 329.0° · coda 30 punti di dettaglio + 42 ore · ritardo 1 min
2026-08-02 19:39:45 UTC  OK  misura 2026-08-02 21:39:40 (ora italiana), nuova · vento 6.4 kn, raffica 8.9 kn, dir 351.0° · coda 30 punti di dettaglio + 43 ore · ritardo 0 min
2026-08-02 20:36:21 UTC  OK  misura 2026-08-02 22:35:40 (ora italiana), nuova · vento 3.9 kn, raffica 8.9 kn, dir 347.0° · coda 30 punti di dettaglio + 44 ore · ritardo 1 min
2026-08-02 22:38:54 UTC  OK  misura 2026-08-03 00:38:40 (ora italiana), nuova · vento 6.6 kn, raffica 10.9 kn, dir 351.0° · coda 30 punti di dettaglio + 45 ore · ritardo 0 min
2026-08-02 23:43:19 UTC  OK  misura 2026-08-03 01:42:40 (ora italiana), nuova · vento 4.7 kn, raffica 13.8 kn, dir 347.0° · coda 30 punti di dettaglio + 46 ore · ritardo 1 min
2026-08-03 01:18:28 UTC  OK  misura 2026-08-03 03:17:40 (ora italiana), nuova · vento 13.2 kn, raffica 18.9 kn, dir 55.0° · coda 31 punti di dettaglio + 47 ore · ritardo 1 min
2026-08-03 04:55:41 UTC  OK  misura 2026-08-03 06:55:40 (ora italiana), nuova · vento 11.9 kn, raffica 15.0 kn, dir 343.0° · coda 30 punti di dettaglio + 48 ore · ritardo 0 min
2026-08-03 08:36:01 UTC  OK  misura 2026-08-03 10:35:40 (ora italiana), nuova · vento 12.8 kn, raffica 17.9 kn, dir 49.0° · coda 30 punti di dettaglio + 49 ore · ritardo 0 min
2026-08-03 12:01:11 UTC  OK  misura 2026-08-03 14:00:40 (ora italiana), nuova · vento 7.8 kn, raffica 9.9 kn, dir 225.0° · coda 29 punti di dettaglio + 50 ore · ritardo 1 min
2026-08-03 15:13:39 UTC  OK  misura 2026-08-03 17:12:40 (ora italiana), nuova · vento 8.6 kn, raffica 9.9 kn, dir 229.0° · coda 28 punti di dettaglio + 51 ore · ritardo 1 min
